date,crypto,factor_name,factor_value
2024-01-01,ADA-USDT,Agent_Crypto_MomentumReversal,-1.2097013385299902
2024-01-01,ADA-USDT,GFN_Crypto_Momentum,-0.6796619235635069
2024-01-01,ADA-USDT,Gen_Crypto_VolumeAnomaly,-0.6759267154159003
2024-01-01,ADA-USDT,GFN_Crypto_LogPrice,-0.0966452608892958
2024-01-01,ADA-USDT,Miner_Crypto_SMACross,0.1178740784509503
2024-01-01,ADA-USDT,Gen_Crypto_PriceAcceleration,-0.1510714522418256
2024-01-01,ADA-USDT,Agent_Crypto_MACD,0.6889443358822862
2024-01-01,ADA-USDT,Genetic_Crypto_Composite,-0.1482081842809634
2024-01-01,AVAX-USDT,Agent_Crypto_MomentumReversal,0.5869417350134671
2024-01-01,AVAX-USDT,GFN_Crypto_Momentum,0.0651448525272351
2024-01-01,AVAX-USDT,Gen_Crypto_VolumeAnomaly,1.364743189829566
2024-01-01,AVAX-USDT,GFN_Crypto_LogPrice,0.169786890071532
2024-01-01,AVAX-USDT,Miner_Crypto_SMACross,-0.1965039644158518
2024-01-01,AVAX-USDT,Gen_Crypto_PriceAcceleration,-0.0772048251208205
2024-01-01,AVAX-USDT,Agent_Crypto_MACD,-0.1698599485812908
2024-01-01,AVAX-USDT,Genetic_Crypto_Composite,1.464420727159546
2024-01-01,BNB-USDT,Agent_Crypto_MomentumReversal,-0.4690102822598563
2024-01-01,BNB-USDT,GFN_Crypto_Momentum,0.0869097891943796
2024-01-01,BNB-USDT,Gen_Crypto_VolumeAnomaly,0.2956312693797122
2024-01-01,BNB-USDT,GFN_Crypto_LogPrice,-0.4514230032511444
2024-01-01,BNB-USDT,Miner_Crypto_SMACross,0.0659091870743652
2024-01-01,BNB-USDT,Gen_Crypto_PriceAcceleration,0.1765595216781926
2024-01-01,BNB-USDT,Agent_Crypto_MACD,-0.0902331981041159
2024-01-01,BNB-USDT,Genetic_Crypto_Composite,-1.0779608526861262
2024-01-01,BTC-USDT,Agent_Crypto_MomentumReversal,-0.2855368836243055
2024-01-01,BTC-USDT,GFN_Crypto_Momentum,-0.0750372546276061
2024-01-01,BTC-USDT,Gen_Crypto_VolumeAnomaly,-0.2586697314000569
2024-01-01,BTC-USDT,GFN_Crypto_LogPrice,-0.9305602263852736
2024-01-01,BTC-USDT,Miner_Crypto_SMACross,1.1928323410127013
2024-01-01,BTC-USDT,Gen_Crypto_PriceAcceleration,0.6011640680029815
2024-01-01,BTC-USDT,Agent_Crypto_MACD,-0.4982950883203026
2024-01-01,BTC-USDT,Genetic_Crypto_Composite,-1.4038678372526467
2024-01-01,DOGE-USDT,Agent_Crypto_MomentumReversal,-1.67188470573682
2024-01-01,DOGE-USDT,GFN_Crypto_Momentum,-0.7216881487217901
2024-01-01,DOGE-USDT,Gen_Crypto_VolumeAnomaly,1.5983109029871616
2024-01-01,DOGE-USDT,GFN_Crypto_LogPrice,-1.442824917142497
2024-01-01,DOGE-USDT,Miner_Crypto_SMACross,0.1761659988290366
2024-01-01,DOGE-USDT,Gen_Crypto_PriceAcceleration,-0.0556353359621278
2024-01-01,DOGE-USDT,Agent_Crypto_MACD,0.5681575668742834
2024-01-01,DOGE-USDT,Genetic_Crypto_Composite,-1.4474736999780635
2024-01-01,DOT-USDT,Agent_Crypto_MomentumReversal,-0.9151487037707148
2024-01-01,DOT-USDT,GFN_Crypto_Momentum,-0.7050387289049823
2024-01-01,DOT-USDT,Gen_Crypto_VolumeAnomaly,-1.114706155477521
2024-01-01,DOT-USDT,GFN_Crypto_LogPrice,0.6024534703804316
2024-01-01,DOT-USDT,Miner_Crypto_SMACross,-0.0008642602906339
2024-01-01,DOT-USDT,Gen_Crypto_PriceAcceleration,-0.2791493041910776
